	DATE	OPEN	CLOSE	HIGH	LOW	LTP	VOLUME	VALUE	NO OF TRADES
113	2022-08-02	531.9	542.1	544.9	531.1	540.0	16845027	9119556236.75	230932
114	2022-08-01	529.05	533.75	535.0	526.4	533.35	8295631	4415816994.75	124805
115	2022-07-29	535.05	528.35	537.0	526.75	527.65	11921058	6315998165.4	144306
116	2022-07-28	533.2	532.45	537.5	529.55	532.15	12160734	6475654215.2	215225
117	2022-07-27	515.3	528.2	529.95	512.25	528.35	15101546	7885450134.35	333000
118	2022-07-26	517.7	514.2	520.8	513.1	513.7	8862656	4577000715.15	168343
119	2022-07-25	513.4	517.8	519.0	509.15	516.25	10229778	5262242658.25	153553
120	2022-07-22	513.45	513.7	520.2	511.2	511.9	14699129	7588186570.15	244781
121	2022-07-21	509.8	512.05	513.4	506.75	511.1	13814893	7066028812.7	196106
122	2022-07-20	501.0	508.6	510.6	500.4	507.4	19280117	9784217298.85	254529
123	2022-07-19	488.0	497.95	498.55	488.0	497.9	11724183	5798451759.05	130777
124	2022-07-18	484.55	490.3	491.5	482.1	489.6	9934786	4841501119.4	178323
125	2022-07-15	482.55	479.1	484.4	474.7	478.7	6945602	3322054772.0	120161
126	2022-07-14	486.6	479.35	488.9	476.8	480.3	9385630	4524120598.85	151617
127	2022-07-13	487.75	486.5	492.45	484.55	486.2	8208853	4008106035.85	129820
128	2022-07-12	485.0	484.95	491.35	483.1	483.4	7364457	3598704148.85	108367
129	2022-07-11	485.0	488.2	491.3	485.0	488.05	7704792	3765716046.15	94857
130	2022-07-08	489.0	488.55	489.9	485.15	488.45	9057231	4414856472.4	162363
131	2022-07-07	484.0	486.75	488.25	481.6	486.9	11497832	5579593687.8	173806
132	2022-07-06	475.15	479.95	481.0	473.9	480.55	12059857	5766832535.75	179395
133	2022-07-05	475.15	472.15	480.0	471.0	472.55	12003244	5713384767.95	143727
134	2022-07-04	466.85	473.45	474.15	466.85	473.95	9186358	4322793774.1	115285
135	2022-07-01	463.35	466.85	468.8	460.55	468.5	9405495	4374195289.05	116790
136	2022-06-30	459.0	465.9	469.3	458.6	465.6	16926328	7880439985.75	186175
137	2022-06-29	460.0	459.1	462.7	458.0	458.95	11800876	5434914241.85	107588
138	2022-06-28	458.9	464.25	465.75	458.0	464.75	13261290	6137031012.35	168906
139	2022-06-27	459.95	461.2	464.85	458.05	461.55	9509175	4385421054.0	103487
140	2022-06-24	455.8	454.25	460.35	453.2	454.55	10833364	4939643608.55	127154
141	2022-06-23	449.0	451.4	456.45	446.0	451.25	12229833	5523391671.25	157832
142	2022-06-22	448.75	447.65	451.2	444.65	447.05	11066447	4954585919.8	111722
143	2022-06-21	439.5	450.75	454.95	437.6	451.0	13801891	6179936791.15	178846
144	2022-06-20	441.5	434.7	443.45	430.7	434.65	12368534	5403153186.35	172757
145	2022-06-17	440.0	441.0	447.55	437.25	442.5	14326050	6347137199.65	167655
146	2022-06-16	455.15	441.6	457.75	440.15	441.15	10780703	4834445595.35	139788
147	2022-06-15	448.95	451.35	455.45	448.6	450.25	9920926	4490231934.55	119413
148	2022-06-14	445.0	448.1	449.25	443.35	448.0	11351101	5067902738.85	136687
149	2022-06-13	454.0	445.85	454.05	442.1	446.1	13426836	5989284598.4	203861
150	2022-06-10	462.0	461.85	464.15	458.6	462.1	8621104	3979479308.5	127828
151	2022-06-09	468.95	466.95	470.9	462.45	467.2	12635601	5887439316.6	158259
152	2022-06-08	466.6	471.3	475.55	463.2	471.0	17168871	8079264816.6	192002
153	2022-06-07	461.85	463.4	465.95	460.5	463.95	7672515	3551990864.45	108268
154	2022-06-06	464.2	463.7	465.6	456.5	463.6	10661432	4924334007.85	137662
155	2022-06-03	473.25	464.5	475.5	463.5	465.0	11306291	5315646218.95	114757
156	2022-06-02	466.9	469.85	472.35	466.15	470.0	9370989	4401383675.1	114087
157	2022-06-01	468.0	468.3	472.0	464.7	469.25	9424008	4416955450.55	119346
158	2022-05-31	474.0	468.1	476.4	465.0	467.6	15441579	7274761527.75	149463
159	2022-05-30	473.0	474.6	476.9	471.1	474.8	9365470	4439626587.15	151679
160	2022-05-27	471.4	468.95	475.0	467.5	468.0	10977001	5166782867.5	160651
161	2022-05-26	456.85	468.9	470.1	452.5	469.6	17055257	7846911655.75	208123
162	2022-05-25	461.0	454.1	464.45	452.05	453.45	12728644	5839499480.45	154093
163	2022-05-24	462.4	462.05	466.8	460.2	463.0	17175179	7957058574.6	139005
164	2022-05-23	463.1	460.9	471.4	459.5	461.0	13499415	6285493530.75	170499
165	2022-05-20	454.85	462.4	464.0	454.15	462.5	13596860	6263239735.25	151413
166	2022-05-19	449.05	447.5	450.0	444.45	449.0	14201420	6353183667.3	223399
167	2022-05-18	467.9	458.0	468.6	457.1	458.25	15644497	7245121118.3	205591
168	2022-05-17	458.3	467.3	469.65	456.15	467.45	16880698	7809801121.7	206674
169	2022-05-16	445.0	455.0	461.5	438.85	456.0	27940958	12711054077.2	283950
170	2022-05-13	469.45	444.65	477.0	439.75	440.5	61403008	28360528047.6	595336
171	2022-05-12	473.0	462.65	473.0	456.35	462.7	18947096	8768075747.5	314035
172	2022-05-11	475.25	476.55	479.0	463.65	478.4	14771351	6963938211.0	241751
173	2022-05-10	477.0	475.2	482.55	473.5	474.0	10884328	5202612034.7	183663
174	2022-05-09	477.1	475.9	483.7	473.8	476.45	13544947	6471855072.45	170758
175	2022-05-06	471.0	483.95	486.1	471.0	485.5	16710020	7999171104.8	216166
176	2022-05-05	485.0	480.0	494.0	478.65	480.0	14130385	6883760406.35	185153
177	2022-05-04	492.0	479.65	496.45	477.5	478.5	14645323	7135245642.5	221907
178	2022-05-02	492.65	491.0	495.0	481.3	490.9	18590895	9060263031.45	232328
179	2022-04-29	508.1	496.3	512.5	494.0	495.9	12894773	6493703529.65	143518
180	2022-04-28	499.15	507.5	510.0	496.5	507.7	12154792	6114331932.3	134713
181	2022-04-27	500.0	497.25	502.8	491.85	497.85	12367342	6143829183.05	142885
182	2022-04-26	499.0	505.5	507.9	498.45	505.5	12137213	6120898078.0	158992
183	2022-04-25	495.0	494.75	499.2	490.05	495.0	14057444	6959299074.05	186190
184	2022-04-22	512.9	500.6	513.5	499.0	499.5	16760456	8465127370.95	208796
185	2022-04-21	513.4	516.3	518.0	512.2	516.9	10035638	5170807462.7	108987
186	2022-04-20	512.0	509.3	513.7	507.0	509.2	11881305	6061830257.65	153556
187	2022-04-19	513.25	511.8	520.95	505.1	506.6	20362934	10507079159.65	240810
188	2022-04-18	512.0	509.5	515.0	504.0	510.1	14492183	7383507123.1	206832
189	2022-04-13	514.3	517.7	520.9	513.75	517.7	15440525	7983987949.4	150224
190	2022-04-12	512.75	512.85	516.7	504.35	512.5	14460680	7379318523.1	179734
191	2022-04-11	513.5	514.9	522.0	513.2	515.0	12370288	6410859873.85	181292
192	2022-04-08	519.5	516.1	519.5	512.35	516.1	13572638	7004926248.3	142230
193	2022-04-07	510.05	514.95	519.9	510.05	516.55	19620958	10106455922.15	193008
194	2022-04-06	507.0	513.95	515.2	506.0	512.75	13738275	7016507642.0	156632
195	2022-04-05	514.4	509.4	516.4	507.7	508.0	13602384	6970682174.05	152569
