DATE,CLOSE,HIGH,LOW,PREV. CLOSE,VWAP,NO OF TRADES,OPEN
06/04/2023,1754.05,1793.65,1688.15,1698.0,1750.41,241838,1705.0
10/04/2023,1797.25,1812.7,1760.6,1754.05,1792.77,175216,1774.0
11/04/2023,1803.15,1829.0,1792.85,1797.25,1809.04,105302,1810.0
12/04/2023,1847.25,1858.75,1797.05,1803.15,1840.31,162125,1814.0
13/04/2023,1870.75,1885.0,1826.05,1847.25,1858.75,126886,1855.0
17/04/2023,1878.75,1904.9,1847.0,1870.75,1877.52,121123,1870.75
18/04/2023,1850.95,1902.75,1830.0,1878.75,1864.1,103734,1892.0
19/04/2023,1853.85,1877.7,1835.0,1850.95,1857.49,95034,1847.0
20/04/2023,1842.9,1878.9,1836.85,1853.85,1853.8,75110,1855.0
21/04/2023,1803.0,1853.25,1796.05,1842.9,1816.0,87940,1846.0
24/04/2023,1801.95,1817.4,1775.8,1803.0,1799.23,83370,1804.0
25/04/2023,1844.6,1913.75,1801.8,1801.95,1865.2,201111,1806.0
26/04/2023,1847.9,1874.0,1826.4,1844.6,1854.78,96443,1854.0
27/04/2023,1853.05,1864.95,1832.55,1847.9,1849.97,71276,1848.0
28/04/2023,1924.95,1944.0,1857.15,1853.05,1912.3,226409,1868.05
02/05/2023,1919.85,1966.0,1908.0,1924.95,1932.34,143521,1935.0
03/05/2023,1839.0,1940.0,1785.35,1919.85,1856.55,228734,1919.0
04/05/2023,1911.25,1935.0,1839.05,1839.0,1886.78,168632,1839.05
05/05/2023,1920.3,1955.0,1903.15,1911.25,1930.87,207327,1954.8
08/05/2023,1887.5,1926.9,1876.0,1920.3,1893.79,101164,1920.3
09/05/2023,1896.1,1930.0,1889.1,1887.5,1910.03,88427,1900.0
10/05/2023,1892.15,1914.9,1883.95,1896.1,1900.91,71745,1899.0
11/05/2023,1984.65,2013.75,1910.0,1892.15,1973.81,291184,1925.0
12/05/2023,1964.7,2010.0,1946.55,1984.65,1972.68,124303,2009.0
15/05/2023,1916.05,1964.7,1880.0,1964.7,1910.98,166552,1959.9
16/05/2023,1889.15,1935.0,1881.0,1916.05,1907.38,93909,1927.0
17/05/2023,1899.5,1919.95,1857.75,1889.15,1889.86,121068,1900.0
18/05/2023,1890.0,1924.0,1877.2,1899.5,1900.73,73391,1910.05
19/05/2023,1956.05,1983.0,1872.1,1890.0,1933.65,249199,1888.0
22/05/2023,2326.1,2347.0,1983.4,1956.05,2212.95,779253,2010.0
23/05/2023,2633.7,2759.45,2400.0,2326.1,2636.02,873248,2410.9
24/05/2023,2475.6,2750.0,2425.35,2633.7,2554.26,834165,2709.0
25/05/2023,2537.45,2558.8,2386.65,2475.6,2470.91,345309,2440.0
26/05/2023,2544.35,2599.95,2535.15,2537.45,2559.29,170861,2565.0
29/05/2023,2534.05,2583.5,2523.0,2544.35,2549.41,113984,2570.0
30/05/2023,2496.45,2554.15,2475.15,2534.05,2522.15,80071,2529.3
